
"AMD uProf (Version:5.2.431.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"build/Debug/AnitraEngine.exe"
Command Line Arguments:,"--include dungeon1/project.toml "
Working Directory:,"C:\Users\andres\Developer\anitra"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x50), Number of Cores(16)"
Operating System:,"Win1125H2-64"
Collect Command:,"AMDuProfCLI.exe collect -e L1_DC_ACCESSES_ALL -e L1_DC_REFILLS_ALL -e L2_CACHE_ACCESS_FROM_L1_DC_MISS -e L2_CACHE_MISS_FROM_L1_DC_MISS -e IC_TAG_IC_MISS -e RETIRED_INST -o profiling/cache_run -d 30 build/Debug/AnitraEngine.exe --include dungeon1/project.toml"
Report Command:,"AMDuProfCLI.exe report -i profiling/cache_run/AMDuProf-AnitraEngine-Custom_Mar-06-2026_21-41-55"

PROFILE DETAILS
Profile Session Type:,"Custom Profile"
Profile Scope:,"Single Application"
CPU Mask:,"0-15"
CPU Affinity Mask:,"0-15"
Profile Start Time:,"Fri Mar  6 21:41:56 2026"
Profile End Time:,"Fri Mar  6 21:42:26 2026"
Profile Duration:,"30.038 seconds"
Data Folder:,"C:\Users\andres\Developer\anitra\profiling\cache_run\AMDuProf-AnitraEngine-Custom_Mar-06-2026_21-41-55"
Virtual Machine:,"Yes"
Hypervisor Vendor:,"Microsoft Hyper-V"
Call Stack Sampling:,"False"
Selected View:,"All Events"

MONITORED EVENTS
PMC Events:,Name,Interval,Unitmask,Countmask,Invert Countmask,User,OS,Description
,"RETIRED_INST (PMCx0C0)",1000000,0x00,0x00,False,True,True,"The number of instructions retired from execution. This count includes exceptions and interrupts. Each exception or interrupt is counted as one instruction."
,"L1_DC_ACCESSES_ALL (PMCx029)",1000000,0x07,0x00,False,True,True,"The number of load and store ops dispatched to LS unit. This counts the dispatch of single op that performs a memory load, dispatch of single op that performs a memory store, dispatch of a single op that performs a load from and store to the same memory address."
,"L2_CACHE_MISS_FROM_L1_DC_MISS (PMCx064)",1000000,0x08,0x00,False,True,True,"Count all the L2 Cache Misses that Misses in L1 Data Cache Miss."
,"IC_TAG_IC_MISS (PMCx18E)",1000000,0x18,0x00,False,True,True,"IC Tag Instruction Cache Miss"
,"L1_DC_REFILLS_ALL (PMCx044)",1000000,0x5F,0x00,False,True,True,"The  Data Cache fills from all the data sources."
,"L2_CACHE_ACCESS_FROM_L1_DC_MISS (PMCx060)",1000000,0xE8,0x00,False,True,True,"The L2 cache access requests due to L1 data cache misses. This also counts hardware and software prefetches"


DERIVED METRICS
Metric Name,Expression,Description
"L1_DC_ACCESSES (PTI)","( L1_DC_ACCESSES_ALL * 1000 ) / RETIRED_INST","The number of load and store operations per thousand instructions. This counts the dispatch of single op that performs a memory load, dispatch of single op that performs a memory store, dispatch of a single op that performs a load from and store to the same memory address"
"L1_DC_MISSES (PTI)","( L2_CACHE_ACCESS_FROM_L1_DC_MISS * 1000 ) / RETIRED_INST","The number of L2 cache access requests due to L1 data cache misses, per thousand retired instructions. This L2 cache access requests also includes the hardware and software prefetches."
"%L1_DC_MISSES","( L2_CACHE_ACCESS_FROM_L1_DC_MISS * 100 ) / L1_DC_ACCESSES_ALL","The percentage of L2 cache access requests due to L1 data cache misses with respect to the total number of load and store operations. This also counts the hardware and software prefetches."
"IC_MISSES (PTI)","(IC_TAG_IC_MISS * 1000) / RETIRED_INST","The number of L1 instruction cache misses, per thousand retired instructions."
"IC_MISS_RATE","IC_TAG_IC_MISS / RETIRED_INST","The IC Miss Rate is computed as the number of number of instruction cache misses divided by the total number of retired instructions."
"L1_DC_ACCESS_RATE","L1_DC_ACCESSES_ALL / RETIRED_INST","The L1 Data Cache access rate is the number of L1 Data Cache accesses divided by the total number of retired instructions."
"L1_DC_MISS_RATE","L2_CACHE_ACCESS_FROM_L1_DC_MISS / RETIRED_INST","The L1 Data Cache miss rate is the number of L1 Data Cache misses divided by the total number of retired instructions."
"L1_DC_MISS_RATIO","L2_CACHE_ACCESS_FROM_L1_DC_MISS / L1_DC_ACCESSES_ALL","The L1 Data Cache miss ratio is the number of L1 Data Cache misses divided by the total number of L1 Data Cache accesses."
"L1_DC_REFILLS_ALL (PTI)","( L1_DC_REFILLS_ALL  * 1000 ) / RETIRED_INST","The number of data cache (DC) fills per thousand retired instructions. These DC fills are from all the data sources like Local L2/L3 cache, remote caches, local dram and remote dram."
"L1_DC_REFILLS_ALL_RATE","L1_DC_REFILLS_ALL / RETIRED_INST","The DC refill rate is the number of DC refills from all the data sources divided by the total number of retired instructions."
"L1_DTLB_REQUESTS (PTI)","( L1_DC_ACCESSES_ALL * 1000 ) / RETIRED_INST","The number of L1 Data Translation Lookaside buffer (DTLB) requests from load-store micro-ops."
"L1_DTLB_REQUEST_RATE","L1_DC_ACCESSES_ALL / RETIRED_INST","The DTLB request rate is the number of DC accesses divided by the total number of retired instructions."
"L2_CACHE_ACCESSES_FROM_DC_MISSES (PTI)","( L2_CACHE_ACCESS_FROM_L1_DC_MISS * 1000 ) / RETIRED_INST","The number of L2 cache access requests due to L1 data cache misses, per thousand retired instructions. This L2 cache access requests also includes the hardware and software prefetches."
"L2_CACHE_MISSES_FROM_DC_MISSES (PTI)","( L2_CACHE_MISS_FROM_L1_DC_MISS * 1000 ) / RETIRED_INST","The number of L2 cache misses from L1 data cache misses, per thousand retired instructions."


APPLICATION PERFORMANCE SNAPSHOT
Number Of Threads,"75"


"10 HOTTEST FUNCTIONS (Sort Event - RETIRED_INST)"
FUNCTION,"RETIRED_INST","L1_DC_ACCESSES (PTI)","L1_DC_MISSES (PTI)","L1_DC_ACCESSES_ALL","L2_CACHE_ACCESS_FROM_L1_DC_MISS","%L1_DC_MISSES","L2_CACHE_MISS_FROM_L1_DC_MISS","IC_TAG_IC_MISS","L1_DC_REFILLS_ALL","IC_MISSES (PTI)","IC_MISS_RATE","L1_DC_ACCESS_RATE","L1_DC_MISS_RATE","L1_DC_MISS_RATIO","L1_DC_REFILLS_ALL (PTI)","L1_DC_REFILLS_ALL_RATE","L1_DTLB_REQUESTS (PTI)","L1_DTLB_REQUEST_RATE","L2_CACHE_ACCESSES_FROM_DC_MISSES (PTI)","L2_CACHE_MISSES_FROM_DC_MISSES (PTI)",Module
"c:\windows\system32\driverstore\filerepository\nvlti.inf_amd64_205d10e9dfea6908\nvwgf2umx.dll",1374.0000,691.4119,52.4017,950.0000,72.0000,7.5789,59.0000,316.0000,63.0000,229.9854,0.2300,0.6914,0.0524,0.0758,45.8515,0.0459,691.4119,0.6914,52.4017,42.9403
"c:\users\andres\developer\anitra\build\debug\externals_copy.dll",1175.0000,577.8723,11.0638,679.0000,13.0000,1.9146,2.0000,37.0000,5.0000,31.4894,0.0315,0.5779,0.0111,0.0191,4.2553,0.0043,577.8723,0.5779,11.0638,1.7021
"c:\windows\system32\msvcrt.dll",839.0000,533.9690,9.5352,448.0000,8.0000,1.7857,1.0000,8.0000,11.0000,9.5352,0.0095,0.5340,0.0095,0.0179,13.1108,0.0131,533.9690,0.5340,9.5352,1.1919
"c:\windows\system32\d3dcompiler_47.dll",654.0000,478.5933,18.3486,313.0000,12.0000,3.8339,1.0000,4.0000,14.0000,6.1162,0.0061,0.4786,0.0183,0.0383,21.4067,0.0214,478.5933,0.4786,18.3486,1.5291
"c:\windows\system32\ntdll.dll",640.0000,589.0625,40.6250,377.0000,26.0000,6.8966,6.0000,99.0000,21.0000,154.6875,0.1547,0.5891,0.0406,0.0690,32.8125,0.0328,589.0625,0.5891,40.6250,9.3750
"c:\users\andres\developer\anitra\build\debug\sdl3.dll",533.0000,465.2908,16.8856,248.0000,9.0000,3.6290,1.0000,40.0000,7.0000,75.0469,0.0750,0.4653,0.0169,0.0363,13.1332,0.0131,465.2908,0.4653,16.8856,1.8762

"10 HOTTEST THREADS (Sort Event - RETIRED_INST)"
THREAD,"RETIRED_INST","L1_DC_ACCESSES (PTI)","L1_DC_MISSES (PTI)","L1_DC_ACCESSES_ALL","L2_CACHE_ACCESS_FROM_L1_DC_MISS","%L1_DC_MISSES","L2_CACHE_MISS_FROM_L1_DC_MISS","IC_TAG_IC_MISS","L1_DC_REFILLS_ALL","IC_MISSES (PTI)","IC_MISS_RATE","L1_DC_ACCESS_RATE","L1_DC_MISS_RATE","L1_DC_MISS_RATIO","L1_DC_REFILLS_ALL (PTI)","L1_DC_REFILLS_ALL_RATE","L1_DTLB_REQUESTS (PTI)","L1_DTLB_REQUEST_RATE","L2_CACHE_ACCESSES_FROM_DC_MISSES (PTI)","L2_CACHE_MISSES_FROM_DC_MISSES (PTI)",THREAD ID
"Thread-20988 (PID:22464)",28202.0000,537.2669,7.8363,15152.0000,221.0000,1.4586,112.0000,1398.0000,194.0000,49.5710,0.0496,0.5373,0.0078,0.0146,6.8789,0.0069,537.2669,0.5373,7.8363,3.9713,"20988"
"Thread-22068 (PID:22464)",698.0000,548.7106,2.8653,383.0000,2.0000,0.5222,0.0000,1.0000,2.0000,1.4327,0.0014,0.5487,0.0029,0.0052,2.8653,0.0029,548.7106,0.5487,2.8653,0.0000,"22068"
"Thread-20116 (PID:22464)",690.0000,531.8841,1.4493,367.0000,1.0000,0.2725,0.0000,1.0000,1.0000,1.4493,0.0014,0.5319,0.0014,0.0027,1.4493,0.0014,531.8841,0.5319,1.4493,0.0000,"20116"
"Thread-4468 (PID:22464)",481.0000,563.4096,2.0790,271.0000,1.0000,0.3690,0.0000,1.0000,1.0000,2.0790,0.0021,0.5634,0.0021,0.0037,2.0790,0.0021,563.4096,0.5634,2.0790,0.0000,"4468"
"Thread-12016 (PID:22464)",479.0000,559.4990,0.0000,268.0000,0.0000,0.0000,0.0000,1.0000,3.0000,2.0877,0.0021,0.5595,0.0000,0.0000,6.2630,0.0063,559.4990,0.5595,0.0000,0.0000,"12016"
"Thread-2852 (PID:22464)",475.0000,555.7895,2.1053,264.0000,1.0000,0.3788,0.0000,0.0000,1.0000,0.0000,0.0000,0.5558,0.0021,0.0038,2.1053,0.0021,555.7895,0.5558,2.1053,0.0000,"2852"
"Thread-6476 (PID:22464)",474.0000,548.5232,4.2194,260.0000,2.0000,0.7692,0.0000,0.0000,0.0000,0.0000,0.0000,0.5485,0.0042,0.0077,0.0000,0.0000,548.5232,0.5485,4.2194,0.0000,"6476"
"Thread-10584 (PID:22464)",474.0000,554.8523,2.1097,263.0000,1.0000,0.3802,0.0000,0.0000,0.0000,0.0000,0.0000,0.5549,0.0021,0.0038,0.0000,0.0000,554.8523,0.5549,2.1097,0.0000,"10584"
"Thread-22480 (PID:22464)",474.0000,561.1814,2.1097,266.0000,1.0000,0.3759,0.0000,1.0000,1.0000,2.1097,0.0021,0.5612,0.0021,0.0038,2.1097,0.0021,561.1814,0.5612,2.1097,0.0000,"22480"
"Thread-22052 (PID:22464)",473.0000,558.1395,0.0000,264.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.5581,0.0000,0.0000,8.4567,0.0085,558.1395,0.5581,0.0000,0.0000,"22052"
